Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,2,,64,8,1,1,a,0.24,0.04,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,1,a,45,8,1,1,a,0.33,0.13,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,3,b,66,12,1,,,0.24,0.01,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,2,,64,12,1,,,0.33,0.04,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,1,a,45,12,1,,,0.44,0.02,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,3,b,66,15,1,,,0.33,0.09,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,2,,64,15,1,,,0.31,0.03,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,1,a,45,15,1,,,0.36,0.06,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,3,b,66,18,1,3,b,0.3,0.04,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,2,,64,18,1,3,b,0.32,0.06,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,protein production value,Counter,1,a,45,18,1,3,b,0.34,0.02,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,3,b,66,8,1,1,a,19.1,4.2,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,2,,64,8,1,1,a,18.1,3.9,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,1,a,45,8,1,1,a,22.1,6.4,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,3,b,66,12,1,,,16.8,0.1,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,2,,64,12,1,,,23.7,0.7,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,1,a,45,12,1,,,27,1.2,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,3,b,66,15,1,,,22.9,5.7,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,2,,64,15,1,,,23.4,3.8,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,1,a,45,15,1,,,25.8,1.7,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,3,b,66,18,1,3,b,20.9,1.1,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,2,,64,18,1,3,b,24.1,5.8,30,
Imsland et al. 2000a,Intraspecific Differences in Physiological Efficiency of Juvenile Atlantic Halibut Hippoglossus hippoglossus,energy conversion efficiency,Counter,1,a,45,18,1,3,b,24.7,0.7,30,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,1,a,59,10,1,1,a,1.632242092,0.3015956636,22,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,1,a,59,14,1,,,2.359425753,0.3181408662,17,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,1,a,59,18,1,,,2.739043603,0.4092053132,18,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,1,a,59,22,1,3,b,2.99649067,0.5161212421,25,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,2,,55,10,1,1,a,1.587231803,0.1443515123,22,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,2,,55,14,1,,,2.256545095,0.3232200075,25,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,2,,55,18,1,,,2.507562121,0.1664866835,28,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,2,,55,22,1,3,b,2.572451544,0.2651953527,21,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,3,b,47,10,1,1,a,1.522931392,0.3080393239,28,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,3,b,47,14,1,,,2.185814642,0.2950821478,26,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,3,b,47,18,1,,,2.565432491,0.3351388044,32,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,growth rate,Counter,3,b,47,22,1,3,b,2.681418654,0.4482985185,29,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,1,a,59,10,1,1,a,0.4,0.12,22,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,1,a,59,14,1,,,1.55,0.1,17,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,1,a,59,18,1,,,1.35,0.39,18,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,1,a,59,22,1,3,b,1.25,0.07,25,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,2,,55,10,1,1,a,0.46,0.19,22,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,2,,55,14,1,,,1.47,0.1,25,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,2,,55,18,1,,,0.95,0.15,28,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,2,,55,22,1,3,b,0.9,0.06,21,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,3,b,47,10,1,1,a,0.32,0.12,28,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,3,b,47,14,1,,,1.25,0.17,26,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,3,b,47,18,1,,,0.98,0.09,32,
Imsland et al. 2000b,Countergradient variation in growth and food conversion efficiency of juvenile turbot,food conversion efficiency,Counter,3,b,47,22,1,3,b,0.74,0.07,29,
Purchase and Brown 2000,Interpopulation differences in growth rates and food conversion efficiencies of young Grand Banks and Gulf of Maine Atlantic cod (Gadus morhua),food conversion efficiency,Counter,1,a,45,12,1,2,b,1.038845212,0.0880335062,10,
Purchase and Brown 2000,Interpopulation differences in growth rates and food conversion efficiencies of young Grand Banks and Gulf of Maine Atlantic cod (Gadus morhua),food conversion efficiency,Counter,1,a,45,3,1,1,a,0.6546719938,0.1403645349,10,
Purchase and Brown 2000,Interpopulation differences in growth rates and food conversion efficiencies of young Grand Banks and Gulf of Maine Atlantic cod (Gadus morhua),food conversion efficiency,Counter,2,b,42,12,1,2,b,0.8985694033,0.1408536099,10,
Purchase and Brown 2000,Interpopulation differences in growth rates and food conversion efficiencies of young Grand Banks and Gulf of Maine Atlantic cod (Gadus morhua),food conversion efficiency,Counter,2,b,42,3,1,1,a,0.5645057353,0.1227578336,10,
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,41.5,18,1,1,a,1.496640883,0.187235318,27,SA females
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,41.5,25,1,2,b,1.329048217,0.154580842,27,SA females
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,2.22,18,1,1,a,1.308657924,0.260501312,27,SA females
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,2.22,25,1,2,b,1.092498429,0.203424838,27,SA females
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,41.5,18,2,1,a,1.299615149,0.1632470441,27,SA males
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,41.5,25,2,2,b,1.085412794,0.1399072356,27,SA males
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,2.22,18,2,1,a,1.10424943,0.1517087553,27,SA males
Robinson and Partridge 2001; SA ,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,2.22,25,2,2,b,0.8990052422,0.1169622735,27,SA males
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,43.08,18,1,1,a,1.482540836,0.18732713,27,Aus Females
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,43.08,25,1,2,b,1.291448092,0.122201802,27,Aus Females
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,17.3,18,1,1,a,1.250691063,0.1625378839,27,Aus Females
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,17.3,25,1,2,b,1.115998508,0.1216509299,27,Aus Females
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,43.08,18,2,1,a,1.297369275,0.1517087553,27,Aus males
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,1,a,43.08,25,2,2,b,1.042741186,0.1166990425,27,Aus males
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,17.3,18,2,1,a,1.128954046,0.1282373313,27,Aus males
Robinson and Partridge 2001; Aus,Temperature and clinal variation in larval growth efficiency in Drosophila melanogaster,growth rate,Counter,2,b,17.3,25,2,2,b,0.9484144729,0.1166990425,27,Aus males
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,1,a,0.3,0.3,1,1,a,0.01533867601,0.01025616864,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,1,a,1,1,1,,,0.04975013108,0.02736143115,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,1,a,2,2,1,,,0.09377128419,0.01029111299,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,1,a,5,5,1,,,0.1799702756,0.07361028698,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,1,a,10,10,1,,,0.3053855711,0.06932960331,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,1,a,20,20,1,4,b,0.326352185,0.1258695721,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,2,,0.3,0.3,1,1,a,0.01166078248,0.006761732984,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,2,,1,1,1,,,0.03475900214,0.007722702788,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,2,,2,2,1,,,0.049252174,0.007687758432,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,2,,5,5,1,,,0.09532630805,0.0410596189,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,2,,10,10,1,,,0.1842334871,0.07273667807,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,2,,20,20,1,4,b,0.2601326294,0.08045938086,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,3,,0.3,0.3,1,1,a,0.009534418391,0.007149615341,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,3,,1,1,1,,,0.01601310209,0.01230740236,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,3,,2,2,1,,,0.03094133119,0.01436213052,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,3,,5,5,1,,,0.06636442538,0.03490941215,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,3,,10,10,1,,,0.1187495102,0.01744422277,4,
Chapin and Oechel 1983,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",phosphate uptake,Counter,3,,20,20,1,4,b,0.2773304945,0.09550292634,4,
